Word: this, start_time: 0.0, end_time: 0.2
Word: is, start_time: 0.2, end_time: 0.4
Word: farmer, start_time: 0.4, end_time: 0.8
Word: sowing, start_time: 0.8, end_time: 1.0
Word: the, start_time: 1.0, end_time: 1.2
Word: corn, start_time: 1.2, end_time: 1.5
Word: the, start_time: 1.5, end_time: 2.8
Word: Wicca, start_time: 2.8, end_time: 3.2
Word: priest, start_time: 3.2, end_time: 3.3
Word: of, start_time: 3.3, end_time: 3.6
Word: Shaving, start_time: 3.6, end_time: 3.9
Word: insurance, start_time: 3.9, end_time: 4.4
Word: that, start_time: 12.4, end_time: 12.8
Word: lay, start_time: 12.8, end_time: 13.1
Word: in, start_time: 13.1, end_time: 13.4
Word: the, start_time: 13.4, end_time: 13.5
Word: house, start_time: 13.5, end_time: 13.9
Word: that, start_time: 13.9, end_time: 14.9
Word: Jack, start_time: 14.9, end_time: 15.1
Word: built, start_time: 15.1, end_time: 15.6
