Word: Little, start_time: 1.7000000000000002, end_time: 2.4
Word: Miss, start_time: 2.4, end_time: 2.7
Word: Muffet, start_time: 2.7, end_time: 3.2
Word: she, start_time: 3.2, end_time: 3.4
Word: sat, start_time: 3.4, end_time: 3.8
Word: on, start_time: 3.8, end_time: 3.9
Word: a, start_time: 3.9, end_time: 4.0
Word: tuffet, start_time: 4.0, end_time: 4.3
Word: eating, start_time: 4.3, end_time: 4.8
Word: her, start_time: 4.8, end_time: 5.1
Word: curds, start_time: 5.1, end_time: 5.3
Word: and, start_time: 5.3, end_time: 5.8
Word: whey, start_time: 5.8, end_time: 6.1
Word: there, start_time: 6.1, end_time: 7.2
Word: came, start_time: 7.2, end_time: 7.5
Word: a, start_time: 7.5, end_time: 7.6
Word: big, start_time: 7.6, end_time: 8.0
Word: spider, start_time: 8.0, end_time: 8.5
Word: and, start_time: 8.5, end_time: 9.1
Word: sat, start_time: 9.1, end_time: 9.4
Word: down, start_time: 9.4, end_time: 9.7
Word: beside, start_time: 9.7, end_time: 9.8
Word: her, start_time: 9.8, end_time: 10.4
Word: and, start_time: 10.4, end_time: 11.1
Word: frightened, start_time: 11.1, end_time: 11.7
Word: Miss, start_time: 11.7, end_time: 11.8
Word: Muffet, start_time: 11.8, end_time: 12.3
Word: away, start_time: 12.3, end_time: 12.4
