Word: Little, start_time: 0.4, end_time: 1.0
Word: Bo, start_time: 1.0, end_time: 1.1
Word: Peep, start_time: 1.1, end_time: 1.3
Word: has, start_time: 1.3, end_time: 1.7000000000000002
Word: lost, start_time: 1.7000000000000002, end_time: 2.0
Word: her, start_time: 2.0, end_time: 2.5
Word: sheep, start_time: 2.5, end_time: 2.7
Word: and, start_time: 2.7, end_time: 3.7
Word: doesn't, start_time: 3.7, end_time: 4.1
Word: know, start_time: 4.1, end_time: 4.2
Word: where, start_time: 4.2, end_time: 4.6
Word: to, start_time: 4.6, end_time: 4.7
Word: find, start_time: 4.7, end_time: 5.0
Word: them, start_time: 5.0, end_time: 5.3
Word: leave, start_time: 5.3, end_time: 6.6
Word: them, start_time: 6.6, end_time: 6.7
Word: alone, start_time: 6.7, end_time: 7.0
Word: and, start_time: 7.0, end_time: 7.7
Word: they'll, start_time: 7.7, end_time: 7.9
Word: come, start_time: 7.9, end_time: 8.3
Word: home, start_time: 8.3, end_time: 8.6
Word: wagging, start_time: 8.6, end_time: 9.9
Word: their, start_time: 9.9, end_time: 10.0
Word: tails, start_time: 10.0, end_time: 10.7
Word: behind, start_time: 10.7, end_time: 10.9
Word: them, start_time: 10.9, end_time: 11.3
