Word: when, start_time: 0.30000000000000004, end_time: 0.7000000000000001
Word: I, start_time: 0.7000000000000001, end_time: 0.8
Word: was, start_time: 0.8, end_time: 1.1
Word: a, start_time: 1.1, end_time: 1.2
Word: little, start_time: 1.2, end_time: 1.3
Word: boy, start_time: 1.3, end_time: 1.6
Word: I, start_time: 1.6, end_time: 2.2
Word: lived, start_time: 2.2, end_time: 2.6
Word: by, start_time: 2.6, end_time: 2.8
Word: myself, start_time: 2.8, end_time: 2.8
Word: and, start_time: 2.8, end_time: 4.3
Word: all, start_time: 4.3, end_time: 4.8
Word: the, start_time: 4.8, end_time: 5.0
Word: bread, start_time: 5.0, end_time: 5.3
Word: and, start_time: 5.3, end_time: 5.4
Word: cheese, start_time: 5.4, end_time: 5.9
Word: I, start_time: 5.9, end_time: 6.0
Word: got, start_time: 6.0, end_time: 6.4
Word: I, start_time: 6.4, end_time: 6.8
Word: put, start_time: 6.8, end_time: 7.1
Word: upon, start_time: 7.1, end_time: 7.3
Word: a, start_time: 7.3, end_time: 7.5
Word: shelf, start_time: 7.5, end_time: 7.6
Word: the, start_time: 7.6, end_time: 9.0
Word: rats, start_time: 9.0, end_time: 9.5
Word: and, start_time: 9.5, end_time: 9.7
Word: the, start_time: 9.7, end_time: 9.7
Word: mice, start_time: 9.7, end_time: 10.2
Word: they, start_time: 10.2, end_time: 11.0
Word: made, start_time: 11.0, end_time: 11.2
Word: such, start_time: 11.2, end_time: 11.7
Word: a, start_time: 11.7, end_time: 11.7
Word: strong, start_time: 11.7, end_time: 12.1
Word: I, start_time: 12.1, end_time: 12.9
Word: was, start_time: 12.9, end_time: 13.0
Word: forced, start_time: 13.0, end_time: 13.7
Word: to, start_time: 13.7, end_time: 13.9
Word: go, start_time: 13.9, end_time: 14.0
Word: to, start_time: 14.0, end_time: 14.1
Word: London, start_time: 14.1, end_time: 14.5
Word: to, start_time: 14.5, end_time: 14.7
Word: buy, start_time: 14.7, end_time: 15.1
Word: me, start_time: 15.1, end_time: 15.5
Word: a, start_time: 15.5, end_time: 15.6
Word: wife, start_time: 15.6, end_time: 16.2
Word: the, start_time: 16.2, end_time: 17.2
Word: streets, start_time: 17.2, end_time: 17.7
Word: were, start_time: 17.7, end_time: 17.9
Word: so, start_time: 17.9, end_time: 18.3
Word: Broad, start_time: 18.3, end_time: 19.0
Word: and, start_time: 19.0, end_time: 19.5
Word: the, start_time: 19.5, end_time: 19.5
Word: lanes, start_time: 19.5, end_time: 20.0
Word: were, start_time: 20.0, end_time: 20.1
Word: so, start_time: 20.1, end_time: 20.5
Word: narrow, start_time: 20.5, end_time: 21.4
Word: I, start_time: 21.4, end_time: 22.2
Word: was, start_time: 22.2, end_time: 22.4
Word: forced, start_time: 22.4, end_time: 22.9
Word: to, start_time: 22.9, end_time: 23.0
Word: ride, start_time: 23.0, end_time: 23.5
Word: my, start_time: 23.5, end_time: 23.7
Word: wife, start_time: 23.7, end_time: 24.0
Word: home, start_time: 24.0, end_time: 24.4
Word: in, start_time: 24.4, end_time: 24.7
Word: a, start_time: 24.7, end_time: 24.8
Word: wheelbarrow, start_time: 24.8, end_time: 25.2
Word: the, start_time: 26.7, end_time: 27.1
Word: wheelbarrow, start_time: 27.1, end_time: 27.5
Word: broke, start_time: 27.5, end_time: 28.0
Word: and, start_time: 28.0, end_time: 28.8
Word: my, start_time: 28.8, end_time: 29.0
Word: wife, start_time: 29.0, end_time: 29.3
Word: had, start_time: 29.3, end_time: 29.5
Word: a, start_time: 29.5, end_time: 29.5
Word: fall, start_time: 29.5, end_time: 30.1
Word: and, start_time: 30.1, end_time: 30.8
Word: down, start_time: 30.8, end_time: 31.6
Word: came, start_time: 31.6, end_time: 31.9
Word: the, start_time: 31.9, end_time: 32.0
Word: wheelbarrow, start_time: 32.0, end_time: 32.8
Word: wife, start_time: 32.8, end_time: 33.8
Word: and, start_time: 33.8, end_time: 34.2
Word: all, start_time: 34.2, end_time: 34.6
