Word: there, start_time: 0.30000000000000004, end_time: 0.7000000000000001
Word: was, start_time: 0.7000000000000001, end_time: 1.0
Word: an, start_time: 1.0, end_time: 1.1
Word: old, start_time: 1.1, end_time: 1.2
Word: woman., start_time: 1.2, end_time: 2.2
Word: Tossed, start_time: 2.2, end_time: 2.9
Word: in, start_time: 2.9, end_time: 3.0
Word: a, start_time: 3.0, end_time: 3.1
Word: blanket, start_time: 3.1, end_time: 3.7
Word: 17, start_time: 3.7, end_time: 4.9
Word: times, start_time: 4.9, end_time: 5.7
Word: as, start_time: 5.7, end_time: 5.8
Word: high, start_time: 5.8, end_time: 6.1
Word: as, start_time: 6.1, end_time: 6.3
Word: the, start_time: 6.3, end_time: 6.4
Word: moon, start_time: 6.4, end_time: 6.6
Word: but, start_time: 6.6, end_time: 7.9
Word: where, start_time: 7.9, end_time: 8.2
Word: she, start_time: 8.2, end_time: 8.3
Word: was, start_time: 8.3, end_time: 8.5
Word: going, start_time: 8.5, end_time: 8.6
Word: no, start_time: 8.6, end_time: 9.6
Word: person, start_time: 9.6, end_time: 10.2
Word: could, start_time: 10.2, end_time: 10.3
Word: tell, start_time: 10.3, end_time: 10.8
Word: for, start_time: 10.8, end_time: 11.6
Word: under, start_time: 11.6, end_time: 11.9
Word: her, start_time: 11.9, end_time: 12.1
Word: arm, start_time: 12.1, end_time: 12.3
Word: she, start_time: 12.3, end_time: 13.1
Word: carried, start_time: 13.1, end_time: 13.6
Word: a, start_time: 13.6, end_time: 13.7
Word: broom, start_time: 13.7, end_time: 14.4
Word: old, start_time: 14.4, end_time: 15.7
Word: woman, start_time: 15.7, end_time: 16.2
Word: old, start_time: 16.2, end_time: 16.4
Word: woman, start_time: 16.4, end_time: 16.6
Word: old, start_time: 16.6, end_time: 17.3
Word: woman, start_time: 17.3, end_time: 17.4
Word: said, start_time: 17.4, end_time: 18.0
Word: I, start_time: 18.0, end_time: 18.2
Word: where, start_time: 18.2, end_time: 19.4
Word: in, start_time: 19.4, end_time: 19.5
Word: the, start_time: 19.5, end_time: 19.6
Word: world, start_time: 19.6, end_time: 20.2
Word: are, start_time: 20.2, end_time: 20.2
Word: you, start_time: 20.2, end_time: 20.3
Word: flying, start_time: 20.3, end_time: 20.9
Word: so, start_time: 20.9, end_time: 21.1
Word: high, start_time: 21.1, end_time: 21.3
Word: to, start_time: 21.3, end_time: 22.8
Word: sweep, start_time: 22.8, end_time: 23.3
Word: the, start_time: 23.3, end_time: 23.5
Word: cobwebs, start_time: 23.5, end_time: 23.9
Word: from, start_time: 23.9, end_time: 24.6
Word: the, start_time: 24.6, end_time: 24.9
Word: sky, start_time: 24.9, end_time: 25.2
Word: and, start_time: 25.2, end_time: 26.2
Word: I'll, start_time: 26.2, end_time: 26.5
Word: Be, start_time: 26.5, end_time: 26.7
Word: With, start_time: 26.7, end_time: 26.8
Word: You, start_time: 26.8, end_time: 27.1
Word: by, start_time: 27.1, end_time: 27.7
Word: and, start_time: 27.7, end_time: 28.2
Word: by, start_time: 28.2, end_time: 28.4
