Word: one, start_time: 0.0, end_time: 1.3
Word: spider, start_time: 1.3, end_time: 1.8
Word: came, start_time: 1.8, end_time: 2.4
Word: inside, start_time: 2.4, end_time: 2.9
Word: and, start_time: 2.9, end_time: 3.6
Word: made, start_time: 3.6, end_time: 3.9
Word: a, start_time: 3.9, end_time: 4.0
Word: surprise, start_time: 4.0, end_time: 4.7
Word: Little, start_time: 6.3, end_time: 7.0
Word: Miss, start_time: 7.0, end_time: 7.2
Word: Muffet, start_time: 7.2, end_time: 7.7
Word: sat, start_time: 7.7, end_time: 8.0
Word: on, start_time: 8.0, end_time: 8.2
Word: a, start_time: 8.2, end_time: 8.4
Word: tuffet, start_time: 8.4, end_time: 8.5
Word: eating, start_time: 8.5, end_time: 9.2
Word: her, start_time: 9.2, end_time: 9.6
Word: curds, start_time: 9.6, end_time: 9.8
Word: and, start_time: 9.8, end_time: 10.3
Word: whey, start_time: 10.3, end_time: 10.6
Word: then, start_time: 10.6, end_time: 12.2
Word: down, start_time: 12.2, end_time: 12.8
Word: came, start_time: 12.8, end_time: 13.1
Word: a, start_time: 13.1, end_time: 13.2
Word: spider, start_time: 13.2, end_time: 13.6
Word: and, start_time: 13.6, end_time: 14.2
Word: sat, start_time: 14.2, end_time: 14.6
Word: down, start_time: 14.6, end_time: 15.0
Word: beside, start_time: 15.0, end_time: 15.2
Word: her, start_time: 15.2, end_time: 15.8
Word: and, start_time: 15.8, end_time: 16.4
Word: frightened, start_time: 16.4, end_time: 17.2
Word: Miss, start_time: 17.2, end_time: 17.3
Word: Muffet, start_time: 17.3, end_time: 17.8
Word: away, start_time: 17.8, end_time: 17.8
