Word: one, start_time: 0.1, end_time: 0.6000000000000001
Word: two, start_time: 0.6000000000000001, end_time: 1.1
Word: buckle, start_time: 1.1, end_time: 1.6
Word: my, start_time: 1.6, end_time: 1.9
Word: shoe, start_time: 1.9, end_time: 2.4
Word: three, start_time: 2.4, end_time: 3.2
Word: four, start_time: 3.2, end_time: 3.5
Word: shut, start_time: 3.5, end_time: 4.4
Word: the, start_time: 4.4, end_time: 4.6
Word: door, start_time: 4.6, end_time: 4.8
Word: five, start_time: 4.8, end_time: 5.6
Word: six, start_time: 5.6, end_time: 6.0
Word: Pick, start_time: 6.0, end_time: 6.5
Word: Up, start_time: 6.5, end_time: 6.9
Word: Sticks, start_time: 6.9, end_time: 7.1
Word: seven, start_time: 7.1, end_time: 8.0
Word: eight, start_time: 8.0, end_time: 8.7
Word: lay, start_time: 8.7, end_time: 9.2
Word: them, start_time: 9.2, end_time: 9.5
Word: straight, start_time: 9.5, end_time: 9.7
Word: nine, start_time: 9.7, end_time: 10.3
Word: ten, start_time: 10.3, end_time: 10.9
Word: a, start_time: 10.9, end_time: 11.4
Word: big, start_time: 11.4, end_time: 11.7
Word: fat, start_time: 11.7, end_time: 12.0
Word: hen, start_time: 12.0, end_time: 12.3
