Word: there, start_time: 0.1, end_time: 0.5
Word: was, start_time: 0.5, end_time: 0.8
Word: a, start_time: 0.8, end_time: 0.9
Word: man, start_time: 0.9, end_time: 1.1
Word: and, start_time: 1.1, end_time: 1.8
Word: he, start_time: 1.8, end_time: 1.9
Word: was, start_time: 1.9, end_time: 2.2
Word: poor, start_time: 2.2, end_time: 2.6
Word: but, start_time: 2.6, end_time: 3.6
Word: robbers, start_time: 3.6, end_time: 4.2
Word: came, start_time: 4.2, end_time: 4.5
Word: to, start_time: 4.5, end_time: 4.7
Word: Rob, start_time: 4.7, end_time: 5.1
Word: him, start_time: 5.1, end_time: 5.4
Word: he, start_time: 5.4, end_time: 6.4
Word: climbed, start_time: 6.4, end_time: 6.9
Word: up, start_time: 6.9, end_time: 7.0
Word: to, start_time: 7.0, end_time: 7.1
Word: the, start_time: 7.1, end_time: 7.3
Word: chimney, start_time: 7.3, end_time: 7.6
Word: top, start_time: 7.6, end_time: 8.2
Word: and, start_time: 8.2, end_time: 8.8
Word: then, start_time: 8.8, end_time: 9.0
Word: they, start_time: 9.0, end_time: 9.2
Word: thought, start_time: 9.2, end_time: 9.6
Word: they, start_time: 9.6, end_time: 10.0
Word: had, start_time: 10.0, end_time: 10.2
Word: him, start_time: 10.2, end_time: 10.6
Word: but, start_time: 10.6, end_time: 11.4
Word: he, start_time: 11.4, end_time: 11.7
Word: got, start_time: 11.7, end_time: 11.8
Word: down, start_time: 11.8, end_time: 12.2
Word: on, start_time: 12.2, end_time: 12.7
Word: the, start_time: 12.7, end_time: 12.9
Word: other, start_time: 12.9, end_time: 13.1
Word: side, start_time: 13.1, end_time: 13.6
Word: and, start_time: 13.6, end_time: 14.2
Word: then, start_time: 14.2, end_time: 14.7
Word: they, start_time: 14.7, end_time: 14.8
Word: could, start_time: 14.8, end_time: 15.0
Word: not, start_time: 15.0, end_time: 15.3
Word: find, start_time: 15.3, end_time: 15.7
Word: him, start_time: 15.7, end_time: 15.9
Word: here, start_time: 15.9, end_time: 16.8
Word: and, start_time: 16.8, end_time: 17.2
Word: 14, start_time: 17.2, end_time: 17.9
Word: miles, start_time: 17.9, end_time: 18.6
Word: and, start_time: 18.6, end_time: 18.7
Word: 15, start_time: 18.7, end_time: 19.5
Word: days, start_time: 19.5, end_time: 19.7
Word: and, start_time: 19.7, end_time: 20.8
Word: never, start_time: 20.8, end_time: 21.1
Word: looked, start_time: 21.1, end_time: 21.6
Word: behind, start_time: 21.6, end_time: 21.8
Word: him, start_time: 21.8, end_time: 22.4
