Word: there, start_time: 1.5, end_time: 2.1
Word: were, start_time: 2.1, end_time: 2.3
Word: two, start_time: 2.3, end_time: 2.6
Word: blackbirds, start_time: 2.6, end_time: 3.3
Word: that, start_time: 3.3, end_time: 3.9
Word: upon, start_time: 3.9, end_time: 4.2
Word: a, start_time: 4.2, end_time: 4.3
Word: hill, start_time: 4.3, end_time: 4.7
Word: the, start_time: 4.7, end_time: 5.2
Word: one, start_time: 5.2, end_time: 5.5
Word: named, start_time: 5.5, end_time: 5.8
Word: Jack, start_time: 5.8, end_time: 6.6
Word: the, start_time: 6.6, end_time: 7.1
Word: other, start_time: 7.1, end_time: 7.7
Word: name, start_time: 7.7, end_time: 8.1
Word: Jill, start_time: 8.1, end_time: 8.7
Word: Flyway, start_time: 8.7, end_time: 10.0
Word: Jack-Jack, start_time: 10.0, end_time: 13.6
Word: come, start_time: 13.6, end_time: 14.5
Word: again, start_time: 14.5, end_time: 15.0
Word: Jill, start_time: 15.0, end_time: 15.5
