Word: there, start_time: 1.5, end_time: 2.1
Word: was, start_time: 2.1, end_time: 2.3
Word: a, start_time: 2.3, end_time: 2.4
Word: little, start_time: 2.4, end_time: 2.6
Word: boy, start_time: 2.6, end_time: 2.8
Word: went, start_time: 2.8, end_time: 3.5
Word: into, start_time: 3.5, end_time: 4.0
Word: a, start_time: 4.0, end_time: 4.0
Word: field, start_time: 4.0, end_time: 4.7
Word: and, start_time: 4.7, end_time: 5.1
Word: lay, start_time: 5.1, end_time: 5.3
Word: down, start_time: 5.3, end_time: 5.4
Word: on, start_time: 5.4, end_time: 5.9
Word: some, start_time: 5.9, end_time: 6.3
Word: hay, start_time: 6.3, end_time: 6.5
Word: and, start_time: 6.5, end_time: 7.3
Word: a, start_time: 7.3, end_time: 7.6
Word: owl, start_time: 7.6, end_time: 8.1
Word: came, start_time: 8.1, end_time: 8.5
Word: out, start_time: 8.5, end_time: 8.9
Word: and, start_time: 8.9, end_time: 9.1
Word: flew, start_time: 9.1, end_time: 9.4
Word: about, start_time: 9.4, end_time: 9.8
Word: and, start_time: 9.8, end_time: 10.5
Word: a, start_time: 10.5, end_time: 10.6
Word: little, start_time: 10.6, end_time: 10.9
Word: boy, start_time: 10.9, end_time: 11.1
Word: ran, start_time: 11.1, end_time: 11.7
Word: away, start_time: 11.7, end_time: 11.9
