Word: there, start_time: 1.7000000000000002, end_time: 2.3
Word: once, start_time: 2.3, end_time: 2.9
Word: was, start_time: 2.9, end_time: 3.1
Word: an, start_time: 3.1, end_time: 3.2
Word: old, start_time: 3.2, end_time: 3.8
Word: woman, start_time: 3.8, end_time: 4.0
Word: tossed, start_time: 4.0, end_time: 4.8
Word: up, start_time: 4.8, end_time: 5.1
Word: in, start_time: 5.1, end_time: 5.3
Word: a, start_time: 5.3, end_time: 5.4
Word: basket, start_time: 5.4, end_time: 6.2
Word: 17, start_time: 6.2, end_time: 7.3
Word: times, start_time: 7.3, end_time: 7.8
Word: as, start_time: 7.8, end_time: 8.0
Word: high, start_time: 8.0, end_time: 8.3
Word: as, start_time: 8.3, end_time: 8.5
Word: the, start_time: 8.5, end_time: 8.6
Word: moon, start_time: 8.6, end_time: 8.8
Word: where, start_time: 8.8, end_time: 10.1
Word: she, start_time: 10.1, end_time: 10.3
Word: was, start_time: 10.3, end_time: 10.6
Word: going, start_time: 10.6, end_time: 10.7
Word: I, start_time: 10.7, end_time: 11.3
Word: couldn't, start_time: 11.3, end_time: 11.9
Word: but, start_time: 11.9, end_time: 12.1
Word: asking, start_time: 12.1, end_time: 12.8
Word: for, start_time: 12.8, end_time: 13.4
Word: in, start_time: 13.4, end_time: 13.7
Word: her, start_time: 13.7, end_time: 13.9
Word: hand, start_time: 13.9, end_time: 14.3
Word: she, start_time: 14.3, end_time: 14.5
Word: carried, start_time: 14.5, end_time: 15.1
Word: a, start_time: 15.1, end_time: 15.2
Word: broom, start_time: 15.2, end_time: 15.9
Word: old, start_time: 15.9, end_time: 16.9
Word: woman, start_time: 16.9, end_time: 17.5
Word: old, start_time: 17.5, end_time: 18.0
Word: woman, start_time: 18.0, end_time: 18.3
Word: old, start_time: 18.3, end_time: 19.3
Word: woman, start_time: 19.3, end_time: 19.5
Word: quote, start_time: 19.5, end_time: 20.5
Word: I, start_time: 20.5, end_time: 20.7
Word: wear, start_time: 20.7, end_time: 21.8
Word: are, start_time: 21.8, end_time: 22.0
Word: you, start_time: 22.0, end_time: 22.2
Word: going, start_time: 22.2, end_time: 22.8
Word: to, start_time: 22.8, end_time: 23.1
Word: up, start_time: 23.1, end_time: 23.5
Word: so, start_time: 23.5, end_time: 23.9
Word: high, start_time: 23.9, end_time: 24.4
Word: to, start_time: 24.4, end_time: 25.4
Word: brush, start_time: 25.4, end_time: 26.0
Word: the, start_time: 26.0, end_time: 26.2
Word: cobwebs, start_time: 26.2, end_time: 27.1
Word: off, start_time: 27.1, end_time: 27.2
Word: the, start_time: 27.2, end_time: 27.7
Word: sky, start_time: 27.7, end_time: 28.1
Word: may, start_time: 28.1, end_time: 29.1
Word: I, start_time: 29.1, end_time: 29.3
Word: go, start_time: 29.3, end_time: 29.6
Word: with, start_time: 29.6, end_time: 30.0
Word: me, start_time: 30.0, end_time: 30.2
Word: by, start_time: 30.2, end_time: 31.3
Word: and, start_time: 31.3, end_time: 32.7
Word: by, start_time: 32.7, end_time: 33.0
