Word: there, start_time: 0.0, end_time: 0.4
Word: was, start_time: 0.4, end_time: 0.6000000000000001
Word: a, start_time: 0.6000000000000001, end_time: 0.7000000000000001
Word: piper, start_time: 0.7000000000000001, end_time: 1.2
Word: had, start_time: 1.2, end_time: 1.6
Word: a, start_time: 1.6, end_time: 1.6
Word: cow, start_time: 1.6, end_time: 1.9
Word: and, start_time: 1.9, end_time: 2.9
Word: he, start_time: 2.9, end_time: 3.1
Word: had, start_time: 3.1, end_time: 3.4
Word: nothing, start_time: 3.4, end_time: 3.9
Word: to, start_time: 3.9, end_time: 4.1
Word: give, start_time: 4.1, end_time: 4.4
Word: her, start_time: 4.4, end_time: 4.6
Word: he, start_time: 4.6, end_time: 5.7
Word: pulled, start_time: 5.7, end_time: 6.1
Word: out, start_time: 6.1, end_time: 6.3
Word: his, start_time: 6.3, end_time: 6.4
Word: pipe, start_time: 6.4, end_time: 7.0
Word: and, start_time: 7.0, end_time: 7.3
Word: played, start_time: 7.3, end_time: 7.8
Word: her, start_time: 7.8, end_time: 7.9
Word: a, start_time: 7.9, end_time: 8.0
Word: tune, start_time: 8.0, end_time: 8.5
Word: and, start_time: 8.5, end_time: 9.3
Word: asked, start_time: 9.3, end_time: 9.7
Word: the, start_time: 9.7, end_time: 10.0
Word: couch, start_time: 10.0, end_time: 10.5
Word: to, start_time: 10.5, end_time: 10.6
Word: consider, start_time: 10.6, end_time: 11.2
Word: cacao, start_time: 12.1, end_time: 12.7
Word: considered, start_time: 12.7, end_time: 13.7
Word: very, start_time: 13.7, end_time: 14.1
Word: well, start_time: 14.1, end_time: 14.5
Word: and, start_time: 14.5, end_time: 15.2
Word: gave, start_time: 15.2, end_time: 15.5
Word: the, start_time: 15.5, end_time: 15.6
Word: piper, start_time: 15.6, end_time: 16.0
Word: a, start_time: 16.0, end_time: 16.1
Word: penny, start_time: 16.1, end_time: 16.6
Word: and, start_time: 16.6, end_time: 17.6
Word: ask, start_time: 17.6, end_time: 17.8
Word: him, start_time: 17.8, end_time: 18.1
Word: to, start_time: 18.1, end_time: 18.2
Word: play, start_time: 18.2, end_time: 18.5
Word: another, start_time: 18.5, end_time: 18.9
Word: tune, start_time: 18.9, end_time: 19.5
Word: that, start_time: 19.5, end_time: 20.2
Word: is, start_time: 20.2, end_time: 20.5
Word: if, start_time: 20.5, end_time: 21.1
Word: he, start_time: 21.1, end_time: 21.3
Word: knew, start_time: 21.3, end_time: 21.6
Word: any, start_time: 21.6, end_time: 22.0
