Word: some, start_time: 0.30000000000000004, end_time: 0.8
Word: people, start_time: 0.8, end_time: 1.1
Word: on, start_time: 1.1, end_time: 1.3
Word: farms, start_time: 1.3, end_time: 1.7000000000000002
Word: have, start_time: 1.7000000000000002, end_time: 1.9
Word: hens, start_time: 1.9, end_time: 2.4
Word: who, start_time: 2.4, end_time: 2.8
Word: lay, start_time: 2.8, end_time: 3.0
Word: eggs, start_time: 3.0, end_time: 3.5
Word: higgledy, start_time: 4.5, end_time: 5.2
Word: piggledy, start_time: 5.2, end_time: 5.6
Word: my, start_time: 5.6, end_time: 6.0
Word: black, start_time: 6.0, end_time: 6.4
Word: hen, start_time: 6.4, end_time: 6.7
Word: She, start_time: 6.7, end_time: 7.3
Word: lays, start_time: 7.3, end_time: 7.6
Word: eggs, start_time: 7.6, end_time: 8.1
Word: for, start_time: 8.1, end_time: 8.2
Word: gentlemen, start_time: 8.2, end_time: 8.9
Word: gentlemen, start_time: 8.9, end_time: 10.1
Word: come, start_time: 10.1, end_time: 10.4
Word: every, start_time: 10.4, end_time: 10.9
Word: day, start_time: 10.9, end_time: 11.0
Word: to, start_time: 11.0, end_time: 11.3
Word: see, start_time: 11.3, end_time: 11.6
Word: what, start_time: 11.6, end_time: 12.0
Word: my, start_time: 12.0, end_time: 12.1
Word: black, start_time: 12.1, end_time: 12.6
Word: hen, start_time: 12.6, end_time: 13.0
Word: does, start_time: 13.0, end_time: 13.3
Word: lay, start_time: 13.3, end_time: 13.5
Word: sometimes, start_time: 13.5, end_time: 15.2
Word: nine, start_time: 15.2, end_time: 15.6
Word: sometimes, start_time: 15.6, end_time: 15.9
Word: higgly-piggly, start_time: 15.9, end_time: 17.9
Word: my, start_time: 17.9, end_time: 18.7
Word: black, start_time: 18.7, end_time: 19.2
Word: hen, start_time: 19.2, end_time: 19.5
