Word: do, start_time: 1.2, end_time: 1.6
Word: you, start_time: 1.6, end_time: 1.6
Word: know, start_time: 1.6, end_time: 1.8
Word: Lucy, start_time: 1.8, end_time: 2.2
Word: will, start_time: 2.2, end_time: 3.5
Word: Lucy, start_time: 3.5, end_time: 4.7
Word: Locket, start_time: 4.7, end_time: 5.3
Word: lost, start_time: 5.3, end_time: 5.9
Word: her, start_time: 5.9, end_time: 6.3
Word: pocket, start_time: 6.3, end_time: 6.4
Word: Kitty, start_time: 6.4, end_time: 7.6
Word: Fisher, start_time: 7.6, end_time: 7.8
Word: found, start_time: 7.8, end_time: 8.2
Word: it, start_time: 8.2, end_time: 8.7
Word: there, start_time: 8.7, end_time: 9.6
Word: was, start_time: 9.6, end_time: 9.7
Word: not, start_time: 9.7, end_time: 10.0
Word: a, start_time: 10.0, end_time: 10.1
Word: penny, start_time: 10.1, end_time: 10.5
Word: in, start_time: 10.5, end_time: 10.7
Word: it, start_time: 10.7, end_time: 10.9
Word: but, start_time: 10.9, end_time: 11.6
Word: a, start_time: 11.6, end_time: 11.7
Word: ribbon, start_time: 11.7, end_time: 12.0
Word: around, start_time: 12.0, end_time: 12.1
Word: it, start_time: 12.1, end_time: 12.5
